Reference_Data_ID;Product_ID;Pricing_Parameter_Value;Product_Description;Pricing_Parameter_Type_ID;Pricing_Parameter_Type_Name;Pricing_Parameter_ID;Pricing_Parameter_Name;Reference_Data_Type;Reference_Data_Name;Valid_From;Valid_To
585;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Calgary International Airport;2018-01-01;9999-12-31
586;1;2;Temperature only;4;Airport;22;High risk;Airport;Victoria International Airport;2018-01-01;9999-12-31
586;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Victoria International Airport;2018-01-01;9999-12-31
587;1;2;Temperature only;4;Airport;22;High risk;Airport;St. John's International Airport;2018-01-01;9999-12-31
587;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;St. John's International Airport;2018-01-01;9999-12-31
588;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Lester B. Pearson International Airport;2018-01-01;9999-12-31
588;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Lester B. Pearson International Airport;2018-01-01;9999-12-31
589;1;1;Temperature only;4;Airport;4;Low risk;Airport;Houari Boumediene Airport;2018-01-01;9999-12-31
589;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Houari Boumediene Airport;2018-01-01;9999-12-31
590;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Kotoka International Airport;2018-01-01;9999-12-31
590;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Kotoka International Airport;2018-01-01;9999-12-31
591;1;1;Temperature only;4;Airport;4;Low risk;Airport;Nnamdi Azikiwe International Airport;2018-01-01;9999-12-31
591;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Nnamdi Azikiwe International Airport;2018-01-01;9999-12-31
592;1;1;Temperature only;4;Airport;4;Low risk;Airport;Akwa Ibom International Airport;2018-01-01;9999-12-31
592;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Akwa Ibom International Airport;2018-01-01;9999-12-31
593;1;1;Temperature only;4;Airport;4;Low risk;Airport;Murtala Muhammed International Airport;2018-01-01;9999-12-31
593;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Murtala Muhammed International Airport;2018-01-01;9999-12-31
594;1;1;Temperature only;4;Airport;4;Low risk;Airport;Tunis Carthage International Airport;2018-01-01;9999-12-31
594;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Tunis Carthage International Airport;2018-01-01;9999-12-31
595;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Brussels Airport;2018-01-01;9999-12-31
595;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Brussels Airport;2018-01-01;9999-12-31
596;1;2;Temperature only;4;Airport;22;High risk;Airport;Brussels South Charleroi Airport;2018-01-01;9999-12-31
596;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Brussels South Charleroi Airport;2018-01-01;9999-12-31
597;1;1;Temperature only;4;Airport;4;Low risk;Airport;Liège Airport;2018-01-01;9999-12-31
597;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Liège Airport;2018-01-01;9999-12-31
598;1;2;Temperature only;4;Airport;22;High risk;Airport;Berlin-Schönefeld Airport;2018-01-01;9999-12-31
598;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Berlin-Schönefeld Airport;2018-01-01;9999-12-31
599;1;1;Temperature only;4;Airport;4;Low risk;Airport;Dresden Airport;2018-01-01;9999-12-31
599;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Dresden Airport;2018-01-01;9999-12-31
600;1;1;Temperature only;4;Airport;4;Low risk;Airport;Frankfurt am Main Airport;2018-01-01;9999-12-31
600;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Frankfurt am Main Airport;2018-01-01;9999-12-31
601;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Münster Osnabrück Airport;2018-01-01;9999-12-31
601;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Münster Osnabrück Airport;2018-01-01;9999-12-31
602;1;1;Temperature only;4;Airport;4;Low risk;Airport;Hamburg Airport;2018-01-01;9999-12-31
602;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Hamburg Airport;2018-01-01;9999-12-31
603;1;1;Temperature only;4;Airport;4;Low risk;Airport;Cologne Bonn Airport;2018-01-01;9999-12-31
603;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Cologne Bonn Airport;2018-01-01;9999-12-31
604;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Düsseldorf Airport;2018-01-01;9999-12-31
604;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Düsseldorf Airport;2018-01-01;9999-12-31
605;1;2;Temperature only;4;Airport;22;High risk;Airport;Munich Airport;2018-01-01;9999-12-31
605;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Munich Airport;2018-01-01;9999-12-31
606;1;1;Temperature only;4;Airport;4;Low risk;Airport;Nuremberg Airport;2018-01-01;9999-12-31
606;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Nuremberg Airport;2018-01-01;9999-12-31
607;1;1;Temperature only;4;Airport;4;Low risk;Airport;Leipzig/Halle Airport;2018-01-01;9999-12-31
607;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Leipzig/Halle Airport;2018-01-01;9999-12-31
608;1;1;Temperature only;4;Airport;4;Low risk;Airport;Stuttgart Airport;2018-01-01;9999-12-31
608;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Stuttgart Airport;2018-01-01;9999-12-31
609;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Berlin-Tegel Airport;2018-01-01;9999-12-31
609;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Berlin-Tegel Airport;2018-01-01;9999-12-31
610;1;1;Temperature only;4;Airport;4;Low risk;Airport;Hannover Airport;2018-01-01;9999-12-31
610;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Hannover Airport;2018-01-01;9999-12-31
611;1;1;Temperature only;4;Airport;4;Low risk;Airport;Bremen Airport;2018-01-01;9999-12-31
611;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Bremen Airport;2018-01-01;9999-12-31
612;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Dortmund Airport;2018-01-01;9999-12-31
612;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Dortmund Airport;2018-01-01;9999-12-31
613;1;2;Temperature only;4;Airport;22;High risk;Airport;Karlsruhe Baden-Baden Airport;2018-01-01;9999-12-31
613;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Karlsruhe Baden-Baden Airport;2018-01-01;9999-12-31
614;1;1;Temperature only;4;Airport;4;Low risk;Airport;Lennart Meri Tallinn Airport;2018-01-01;9999-12-31
614;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Lennart Meri Tallinn Airport;2018-01-01;9999-12-31
615;1;1;Temperature only;4;Airport;4;Low risk;Airport;Helsinki Vantaa Airport;2018-01-01;9999-12-31
615;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Helsinki Vantaa Airport;2018-01-01;9999-12-31
616;1;1;Temperature only;4;Airport;4;Low risk;Airport;Belfast International Airport;2018-01-01;9999-12-31
616;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Belfast International Airport;2018-01-01;9999-12-31
617;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;George Best Belfast City Airport;2018-01-01;9999-12-31
617;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;George Best Belfast City Airport;2018-01-01;9999-12-31
618;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Birmingham International Airport;2018-01-01;9999-12-31
618;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Birmingham International Airport;2018-01-01;9999-12-31
619;1;1;Temperature only;4;Airport;4;Low risk;Airport;Manchester Airport;2018-01-01;9999-12-31
619;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Manchester Airport;2018-01-01;9999-12-31
620;1;1;Temperature only;4;Airport;4;Low risk;Airport;Robin Hood Doncaster Sheffield Airport;2018-01-01;9999-12-31
620;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Robin Hood Doncaster Sheffield Airport;2018-01-01;9999-12-31
621;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Cardiff International Airport;2018-01-01;9999-12-31
621;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Cardiff International Airport;2018-01-01;9999-12-31
622;1;2;Temperature only;4;Airport;22;High risk;Airport;Bristol Airport;2018-01-01;9999-12-31
622;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Bristol Airport;2018-01-01;9999-12-31
623;1;2;Temperature only;4;Airport;22;High risk;Airport;Liverpool John Lennon Airport;2018-01-01;9999-12-31
623;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Liverpool John Lennon Airport;2018-01-01;9999-12-31
624;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;London Luton Airport;2018-01-01;9999-12-31
624;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;London Luton Airport;2018-01-01;9999-12-31
625;1;1;Temperature only;4;Airport;4;Low risk;Airport;Bournemouth Airport;2018-01-01;9999-12-31
625;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Bournemouth Airport;2018-01-01;9999-12-31
626;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Southampton Airport;2018-01-01;9999-12-31
626;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Southampton Airport;2018-01-01;9999-12-31
627;1;1;Temperature only;4;Airport;4;Low risk;Airport;London Gatwick Airport;2018-01-01;9999-12-31
627;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;London Gatwick Airport;2018-01-01;9999-12-31
628;1;1;Temperature only;4;Airport;4;Low risk;Airport;London Heathrow Airport;2018-01-01;9999-12-31
628;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;London Heathrow Airport;2018-01-01;9999-12-31
629;1;1;Temperature only;4;Airport;4;Low risk;Airport;Leeds Bradford Airport;2018-01-01;9999-12-31
629;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Leeds Bradford Airport;2018-01-01;9999-12-31
630;1;1;Temperature only;4;Airport;4;Low risk;Airport;Newcastle Airport;2018-01-01;9999-12-31
630;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Newcastle Airport;2018-01-01;9999-12-31
631;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;East Midlands Airport;2018-01-01;9999-12-31
631;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;East Midlands Airport;2018-01-01;9999-12-31
632;1;2;Temperature only;4;Airport;22;High risk;Airport;Aberdeen Dyce Airport;2018-01-01;9999-12-31
632;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Aberdeen Dyce Airport;2018-01-01;9999-12-31
633;1;1;Temperature only;4;Airport;4;Low risk;Airport;Glasgow International Airport;2018-01-01;9999-12-31
633;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Glasgow International Airport;2018-01-01;9999-12-31
634;1;2;Temperature only;4;Airport;22;High risk;Airport;Edinburgh Airport;2018-01-01;9999-12-31
634;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Edinburgh Airport;2018-01-01;9999-12-31
635;1;1;Temperature only;4;Airport;4;Low risk;Airport;Norwich International Airport;2018-01-01;9999-12-31
635;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Norwich International Airport;2018-01-01;9999-12-31
636;1;1;Temperature only;4;Airport;4;Low risk;Airport;London Stansted Airport;2018-01-01;9999-12-31
636;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;London Stansted Airport;2018-01-01;9999-12-31
637;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Exeter International Airport;2018-01-01;9999-12-31
637;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Exeter International Airport;2018-01-01;9999-12-31
638;1;1;Temperature only;4;Airport;4;Low risk;Airport;RAF Lakenheath;2018-01-01;9999-12-31
638;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;RAF Lakenheath;2018-01-01;9999-12-31
639;1;1;Temperature only;4;Airport;4;Low risk;Airport;RAF Mildenhall;2018-01-01;9999-12-31
639;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;RAF Mildenhall;2018-01-01;9999-12-31
640;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;RAF Fairford;2018-01-01;9999-12-31
640;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;RAF Fairford;2018-01-01;9999-12-31
641;1;2;Temperature only;4;Airport;22;High risk;Airport;RAF Brize Norton;2018-01-01;9999-12-31
641;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;RAF Brize Norton;2018-01-01;9999-12-31
642;1;1;Temperature only;4;Airport;4;Low risk;Airport;Amsterdam Airport Schiphol;2018-01-01;9999-12-31
642;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Amsterdam Airport Schiphol;2018-01-01;9999-12-31
643;1;1;Temperature only;4;Airport;4;Low risk;Airport;Maastricht Aachen Airport;2018-01-01;9999-12-31
643;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Maastricht Aachen Airport;2018-01-01;9999-12-31
644;1;1;Temperature only;4;Airport;4;Low risk;Airport;Eindhoven Airport;2018-01-01;9999-12-31
644;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Eindhoven Airport;2018-01-01;9999-12-31
645;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Cork Airport;2018-01-01;9999-12-31
645;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Cork Airport;2018-01-01;9999-12-31
646;1;1;Temperature only;4;Airport;4;Low risk;Airport;Dublin Airport;2018-01-01;9999-12-31
646;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Dublin Airport;2018-01-01;9999-12-31
647;1;1;Temperature only;4;Airport;4;Low risk;Airport;Shannon Airport;2018-01-01;9999-12-31
647;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Shannon Airport;2018-01-01;9999-12-31
648;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Billund Airport;2018-01-01;9999-12-31
648;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Billund Airport;2018-01-01;9999-12-31
649;1;2;Temperature only;4;Airport;22;High risk;Airport;Copenhagen Kastrup Airport;2018-01-01;9999-12-31
649;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Copenhagen Kastrup Airport;2018-01-01;9999-12-31
650;1;1;Temperature only;4;Airport;4;Low risk;Airport;Aalborg Airport;2018-01-01;9999-12-31
650;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Aalborg Airport;2018-01-01;9999-12-31
651;1;1;Temperature only;4;Airport;4;Low risk;Airport;Luxembourg-Findel International Airport;2018-01-01;9999-12-31
651;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Luxembourg-Findel International Airport;2018-01-01;9999-12-31
652;1;1;Temperature only;4;Airport;4;Low risk;Airport;Bodø Airport;2018-01-01;9999-12-31
652;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Bodø Airport;2018-01-01;9999-12-31
653;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Bergen Airport Flesland;2018-01-01;9999-12-31
653;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Bergen Airport Flesland;2018-01-01;9999-12-31
654;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Oslo Gardermoen Airport;2018-01-01;9999-12-31
654;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Oslo Gardermoen Airport;2018-01-01;9999-12-31
655;1;1;Temperature only;4;Airport;4;Low risk;Airport;Tromsø Airport;2018-01-01;9999-12-31
655;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Tromsø Airport;2018-01-01;9999-12-31
656;1;1;Temperature only;4;Airport;4;Low risk;Airport;Trondheim Airport Værnes;2018-01-01;9999-12-31
656;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Trondheim Airport Værnes;2018-01-01;9999-12-31
657;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Stavanger Airport Sola;2018-01-01;9999-12-31
657;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Stavanger Airport Sola;2018-01-01;9999-12-31
658;1;2;Temperature only;4;Airport;22;High risk;Airport;Gda?sk Lech Wa??sa Airport;2018-01-01;9999-12-31
658;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Gda?sk Lech Wa??sa Airport;2018-01-01;9999-12-31
659;1;2;Temperature only;4;Airport;22;High risk;Airport;John Paul II International Airport Kraków-Balice Airport;2018-01-01;9999-12-31
659;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;John Paul II International Airport Kraków-Balice Airport;2018-01-01;9999-12-31
660;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Katowice International Airport;2018-01-01;9999-12-31
660;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Katowice International Airport;2018-01-01;9999-12-31
661;1;1;Temperature only;4;Airport;4;Low risk;Airport;Modlin Airport;2018-01-01;9999-12-31
661;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Modlin Airport;2018-01-01;9999-12-31
662;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Pozna?-?awica Airport;2018-01-01;9999-12-31
662;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Pozna?-?awica Airport;2018-01-01;9999-12-31
663;1;1;Temperature only;4;Airport;4;Low risk;Airport;Warsaw Chopin Airport;2018-01-01;9999-12-31
663;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Warsaw Chopin Airport;2018-01-01;9999-12-31
664;1;1;Temperature only;4;Airport;4;Low risk;Airport;Copernicus Wroc?aw Airport;2018-01-01;9999-12-31
664;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Copernicus Wroc?aw Airport;2018-01-01;9999-12-31
665;1;1;Temperature only;4;Airport;4;Low risk;Airport;Gothenburg-Landvetter Airport;2018-01-01;9999-12-31
665;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Gothenburg-Landvetter Airport;2018-01-01;9999-12-31
666;1;1;Temperature only;4;Airport;4;Low risk;Airport;Malmö Sturup Airport;2018-01-01;9999-12-31
666;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Malmö Sturup Airport;2018-01-01;9999-12-31
667;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Luleå Airport;2018-01-01;9999-12-31
667;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Luleå Airport;2018-01-01;9999-12-31
668;1;2;Temperature only;4;Airport;22;High risk;Airport;Stockholm-Arlanda Airport;2018-01-01;9999-12-31
668;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Stockholm-Arlanda Airport;2018-01-01;9999-12-31
669;1;1;Temperature only;4;Airport;4;Low risk;Airport;Ramstein Air Base;2018-01-01;9999-12-31
669;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Ramstein Air Base;2018-01-01;9999-12-31
670;1;2;Temperature only;4;Airport;22;High risk;Airport;Riga International Airport;2018-01-01;9999-12-31
670;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Riga International Airport;2018-01-01;9999-12-31
671;1;1;Temperature only;4;Airport;4;Low risk;Airport;Vilnius International Airport;2018-01-01;9999-12-31
671;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Vilnius International Airport;2018-01-01;9999-12-31
672;1;1;Temperature only;4;Airport;4;Low risk;Airport;Cape Town International Airport;2018-01-01;9999-12-31
672;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Cape Town International Airport;2018-01-01;9999-12-31
673;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;George Airport;2018-01-01;9999-12-31
673;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;George Airport;2018-01-01;9999-12-31
674;1;1;Temperature only;4;Airport;4;Low risk;Airport;OR Tambo International Airport;2018-01-01;9999-12-31
674;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;OR Tambo International Airport;2018-01-01;9999-12-31
675;1;1;Temperature only;4;Airport;4;Low risk;Airport;King Shaka International Airport;2018-01-01;9999-12-31
675;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;King Shaka International Airport;2018-01-01;9999-12-31
676;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Sir Charles Gaetan Duval Airport;2018-01-01;9999-12-31
676;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Sir Charles Gaetan Duval Airport;2018-01-01;9999-12-31
677;1;2;Temperature only;4;Airport;22;High risk;Airport;Kenneth Kaunda International Airport Lusaka;2018-01-01;9999-12-31
677;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Kenneth Kaunda International Airport Lusaka;2018-01-01;9999-12-31
678;1;1;Temperature only;4;Airport;4;Low risk;Airport;Gran Canaria Airport;2018-01-01;9999-12-31
678;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Gran Canaria Airport;2018-01-01;9999-12-31
679;1;1;Temperature only;4;Airport;4;Low risk;Airport;Tenerife South Airport;2018-01-01;9999-12-31
679;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Tenerife South Airport;2018-01-01;9999-12-31
680;1;1;Temperature only;4;Airport;4;Low risk;Airport;Tenerife Norte Airport;2018-01-01;9999-12-31
680;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Tenerife Norte Airport;2018-01-01;9999-12-31
681;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Mohammed V International Airport;2018-01-01;9999-12-31
681;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Mohammed V International Airport;2018-01-01;9999-12-31
682;1;1;Temperature only;4;Airport;4;Low risk;Airport;Diass-Thies Blaise Diagne International Airport;2018-01-01;9999-12-31
682;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Diass-Thies Blaise Diagne International Airport;2018-01-01;9999-12-31
683;1;1;Temperature only;4;Airport;4;Low risk;Airport;Léopold Sédar Senghor International Airport;2018-01-01;9999-12-31
683;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Léopold Sédar Senghor International Airport;2018-01-01;9999-12-31
684;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Nouakchott–Oumtounsy International Airport;2018-01-01;9999-12-31
684;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Nouakchott–Oumtounsy International Airport;2018-01-01;9999-12-31
685;1;2;Temperature only;4;Airport;22;High risk;Airport;Addis Ababa Bole International Airport;2018-01-01;9999-12-31
685;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Addis Ababa Bole International Airport;2018-01-01;9999-12-31
686;1;1;Temperature only;4;Airport;4;Low risk;Airport;Cairo International Airport;2018-01-01;9999-12-31
686;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Cairo International Airport;2018-01-01;9999-12-31
687;1;1;Temperature only;4;Airport;4;Low risk;Airport;Hurghada International Airport;2018-01-01;9999-12-31
687;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Hurghada International Airport;2018-01-01;9999-12-31
688;1;1;Temperature only;4;Airport;4;Low risk;Airport;Luxor International Airport;2018-01-01;9999-12-31
688;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Luxor International Airport;2018-01-01;9999-12-31
689;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Jomo Kenyatta International Airport;2018-01-01;9999-12-31
689;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Jomo Kenyatta International Airport;2018-01-01;9999-12-31
690;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Mombasa Moi International Airport;2018-01-01;9999-12-31
690;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Mombasa Moi International Airport;2018-01-01;9999-12-31
691;1;1;Temperature only;4;Airport;4;Low risk;Airport;Tripoli International Airport;2018-01-01;9999-12-31
691;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Tripoli International Airport;2018-01-01;9999-12-31
692;1;1;Temperature only;4;Airport;4;Low risk;Airport;Juba International Airport;2018-01-01;9999-12-31
692;2;1.2;Freight insurance;4;Airport;4;Low risk;Airport;Juba International Airport;2018-01-01;9999-12-31
693;1;1.5;Temperature only;4;Airport;13;Medium risk;Airport;Khartoum International Airport;2018-01-01;9999-12-31
693;2;1.8;Freight insurance;4;Airport;13;Medium risk;Airport;Khartoum International Airport;2018-01-01;9999-12-31
694;1;2;Temperature only;4;Airport;22;High risk;Airport;Julius Nyerere International Airport;2018-01-01;9999-12-31
694;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Julius Nyerere International Airport;2018-01-01;9999-12-31
695;1;2;Temperature only;4;Airport;22;High risk;Airport;Albuquerque International Sunport Airport;2018-01-01;9999-12-31
695;2;2.4;Freight insurance;4;Airport;22;High risk;Airport;Albuquerque International Sunport Airport;2018-01-01;9999-12-31
